Feature Name,Data Type,Description,Status,Created At,Created By,Updated At,Updated By,Destination Table,Update Window,Version,Query Path,Dependent Features,Weight,Is Risk,Query,Is Active,Source Table,Feature ID
sustxn_oddhour_pkts_score,double,Score based on the count of number of packets where the operator has made a packet after the declared working hour in the period of last 30 calender days,PROD,"15/5/2026, 11:17 AM",saksham.nisg,"1/6/2026, 12:41 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:rank_scoring, feature_id:sustxn_oddhour_pkts_instances_24h_v2, range_start:0, range_end:1, require_aggregation:True, is_inverse:False, apply_threshold:False, period_in_days:30]",,,,,strot.operator360.features_sustxn_v1,sustxn_oddhour_pkts_score_v2
bio_mfc_left_slap_swap_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Swapped verdict for left slap,DEPRECATED,"24/2/2026, 12:54 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_left_slap_swap=true]",,,,,strot.operator360.bio_mfc_slap_fraud_refids,bio_mfc_left_slap_swap_incidents_24h_v1
bio_packet_face_pop_count_cumulative,double,"Cumulative count of Photo on Photo verdict incidents by the operator in MFC, calculated from 23rd June",PROD,"24/6/2026, 10:13 AM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,[min_pkt_date:2026-06-23],,,,,strot.operator360.features_bio_v1,bio_packet_face_pop_count_cumulative_v1
auth_oddhour_txn_score,double,Score based on the count of number of odd hour authentication transaction by the operator over the period of last 30 days,PROD,"15/5/2026, 11:29 AM",saksham.nisg,"1/6/2026, 12:47 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:winsorized_zscoring, feature_id:auth_oddhour_incidents_24h_v1, is_multiple_col:False, period_in_days:30]",,,,,strot.operator360.features_auth_v1,auth_oddhour_txn_score_v2
auth_device_change_incidents,double,Incidents of total device change during authentication by operator,PROD,"3/8/2026, 1:39 PM",saksham.nisg,,,strot.operator360.features_auth_v1,24h,1,,"[table_used:flink_stream.operator360.opt_auth_txn_v3, period_in_days:1]",,,,,flink_stream.operator360.opt_auth_txn_v3,auth_device_change_incidents_v1
bio_mfc_finger_toeprint_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Toe Print verdict for slap or thumb,DEPRECATED,"24/2/2026, 1:06 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:(is_left_slap_toe_print=true or is_right_slap_toe_print=true or is_both_thumbs_toe_print=true)]",,,,,,bio_mfc_finger_toeprint_incidents_24h_v1
doc_qc_error_de_incidents,double,Incidents of DE errors found for the operator by QC,DEPRECATED,"12/2/2026, 12:10 PM",priyanshug.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_document_v1,24h,1,,"[table_used:strot.operator360.eid_qc_error_report_v2, period_in_days:180]",,,,,strot.operator360.eid_qc_error_report_v2,doc_qc_error_de_incidents_v1
bio_mfc_right_iris_nonhuman_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Non Human verdict for right iris,DEPRECATED,"24/2/2026, 1:00 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_right_iris_non_human=true]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_right_iris_nonhuman_incidents_24h_v1
bio_mfc_face_adult_as_child_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Adult Enrolling as a Child verdict for face,DEPRECATED,"24/2/2026, 1:00 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_face_adult_enrolling_as_a_child=true]",,,,,strot.operator360.bio_mfc_face_fraud_refids,bio_mfc_face_adult_as_child_incidents_24h_v1
auth_txn_gap_sec,double,Time between 2 attempts of authenication by the operator,STAGING,"12/3/2026, 12:09 PM",saksham.nisg,,,flink_stream.operator360.features_auth_v1,live,1,,[],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_txn_gap_sec_live_v1
bio_category_score,double,Value representing the score of an operator based on the aggregated score of biometric features,PROD,"12/5/2026, 3:38 PM",saksham.nisg,"1/6/2026, 5:45 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[risk_weightage:{bio_sfc_fraud_score_v2:1, bio_mfc_fraud_score_v2:4}, scoring_function:softmax_scoring]",,,,,strot.operator360.features_risk_v1,bio_category_score_v2
hardware_machine_change_score,double,Relative score of the operator based on historical machine change count,DEPRECATED,"13/2/2026, 11:12 AM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24h,1,,"[features_used:hardware_machine_change_instances_v1, fraud_table:strot.operator360.features_hardware_v1, score_start:0, score_end:1.0]",,true,,,,hardware_machine_change_score_v1
auth_liveness_fraud_pkts_count,double,Distribution of packets that operator made within 2 successful authentication where first success authentication occurs after liveness failure,DEPRECATED,"16/3/2026, 6:05 PM",saksham.nisg,"20/3/2026, 12:40 PM",saksham.nisg,strot.operator360.features_auth_v1,24h,1,,"[period_in_days:1, scan_period_sec:300]",,,,,flink_stream.operator360.opt_auth_txn_v3,auth_liveness_fraud_pkts_count_24h_v1
work_machine_change_score,integer,Relative score of the operator based on historical machine use count,DEPRECATED,"16/2/2026, 1:16 PM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24h,1,,"[features_used:work_machine_change_instances_v1, fraud_table:strot.operator360.features_work_v1, score_start:0.5, score_end:1.0]",,true,,,,work_machine_change_score_v1
work_pob_declared_score,double,Relative score of the operator based on historical pob fraud count,DEPRECATED,"15/2/2026, 8:44 AM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24h,1,,"[features_used:work_pob_declared_instances_v1, fraud_table:strot.operator360.features_work_v1, score_start:0.5, score_end:1.0]",,true,,,,work_pob_declared_score_v1
auth_device_change_score,double,Score based on the total authentication device switches by the operator,DEPRECATED,"5/4/2026, 9:36 AM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24h,1,,"[features_used:auth_device_change_incidents_Finger_24h_v1,auth_device_change_incidents_Iris_24h_v1,auth_modality_change_incidents_24h_v1, fraud_table:strot.operator360.features_auth_v1]",,,,,flink_stream.operator360.features_auth_v1,auth_device_change_score_v1
sustxn_parallel_enrolment_score,double,Relative score of the operator based on number parallel transaction it does,DEPRECATED,"15/2/2026, 10:59 AM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24h,1,,"[features_used:sustxn_parallel_enrolment_instances_v1, fraud_table:strot.operator360.features_sustxn_v1, score_start:0.5, score_end:1.0]",,true,,,,sustxn_parallel_enrolment_score_v1
sustxn_oddhour_pkts_zscore,double,Relative Z-Score of the operator based on number of oddhour packets,DEPRECATED,"9/3/2026, 5:44 PM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24hr,1,,"[feature_used:sustxn_oddhour_pkts_instances_v1, fraud_table:strot.operator360.features_sustxn_v1]",,,,,,sustxn_oddhour_pkts_zscore_24hr_v1
sustxn_parallel_enrolment_instances,double,Incidents of parallel enrolment seen for an operator,PROD,"12/2/2026, 12:04 PM",priyanshug.nisg,"13/3/2026, 4:37 PM",saksham.nisg,strot.operator360.features_sustxn_v1,7d,1,,[period_in_days:7],,,,,strot.operator360.txn_parallel_enrl_v1,sustxn_parallel_enrolment_instances_7d_v1
work_opt_machinesync_zscore,double,Zscore based on the machine syncing activity and packet creation activity of an ECMP operator,PROD,"27/5/2026, 4:46 PM",saksham.nisg,"1/6/2026, 3:13 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:zscore, feature_id:work_machine_sync_gap_v1, require_aggregation:False]",,,,,strot.operator360.features_work_v1,work_opt_machinesync_zscore_v2
doc_qc_error_hpm_incidents_count_monthly,double,Count of incidents where the packet has been reported with error category Human photo Missing in the period of current calendar month,PROD,"13/5/2026, 11:54 AM",saksham.nisg,"13/5/2026, 3:43 PM",saksham.nisg,strot.operator360.features_document_v1,24h,1,,"[dependent_feature_id:doc_qc_error_hpm_incidents_count_daily_v1, eid_collection:False]",,,,,strot.operator360.eid_qc_error_report_v2,doc_qc_error_hpm_incidents_count_monthly_v1
risk_score,double,Value representing the final risk score for an operator based on its category performance score,PROD,"27/5/2026, 3:30 PM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,3,,"[risk_weightage:{work_category_score_v2:1, bio_category_score_v2:1,hardware_category_score_v2:1,sustxn_category_score_v2:1,auth_category_score_v2:1,document_category_score_v2:1}, scoring_function:max_scoring]",,,,,strot.operator360.features_risk_v1,risk_score_v3
bio_packet_iris_left_non_human_count_daily,double,Daily count of LEFT IRIS NON_HUMAN incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'LEFT_IRIS' AND errorreasoncode = 'NON_HUMAN']",,,,,None,bio_packet_left_iris_non_human_count_daily_v1
bio_packet_iris_right_non_human_count_daily,double,Daily count of RIGHT IRIS NON_HUMAN incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'RIGHT_IRIS' AND errorreasoncode = 'NON_HUMAN']",,,,,None,bio_packet_right_iris_non_human_count_daily_v1
doc_qc_error_al_incidents_count_daily,double,Count of incidents where the packet has been reported with error category AL in the previous calendar day,PROD,"12/5/2026, 5:00 PM",saksham.nisg,"13/5/2026, 3:43 PM",saksham.nisg,strot.operator360.features_document_v1,24h,1,,"[table_used:strot.operator360.eid_qc_error_report_v2, period_in_days:1, eid_collection:False, filter_condition:(error_category='AL')]",,,,,strot.operator360.eid_qc_error_report_v2,doc_qc_error_al_incidents_count_daily_v1
doc_qc_error_pop_incidents_count_cumulative,double,Count of incidents where the packet has been reported with error category Photo of Photo in QC. Here the count is from the inception of the feature,PROD,"13/5/2026, 10:44 AM",saksham.nisg,"13/5/2026, 3:43 PM",saksham.nisg,strot.operator360.features_document_v1,24h,1,,[dependent_feature_id:doc_qc_error_pop_incidents_count_daily_v1],,,,,strot.operator360.eid_qc_error_report_v2,doc_qc_error_pop_incidents_count_cumulative_v1
doc_qc_error_al_incidents_count_monthly,double,Count of incidents where the packet has been reported with error category AL in the period of current calendar month,PROD,"13/5/2026, 11:53 AM",saksham.nisg,"13/5/2026, 3:43 PM",saksham.nisg,strot.operator360.features_document_v1,24h,1,,"[dependent_feature_id:doc_qc_error_al_incidents_count_daily_v1, eid_collection:Flase]",,,,,strot.operator360.eid_qc_error_report_v2,doc_qc_error_al_incidents_count_monthly_v1
bio_packet_finger_swap_count_daily,double,Daily count of FINGER SWAP incidents by operator in Bio packets.,PROD,"13/4/2026, 3:17 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:errorreasoncode = 'SWAP']",,,,,None,bio_packet_finger_swap_count_daily_v1
auth_txn_failure_count,double,Count of number of failure authentication attempts by the operator,PROD,"12/3/2026, 12:06 PM",saksham.nisg,,,flink_stream.operator360.features_auth_v1,1h,1,,[],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_txn_failure_count_1h_v1
hardware_multiple_biodev_score,double,Score based on the number of bio devices used by operator in the period of last 30 calender days,PROD,"15/5/2026, 11:20 AM",saksham.nisg,"1/6/2026, 12:37 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:rank_scoring, feature_id:hardware_multiple_biodev_instances_24h_v2, range_start:0, range_end:1, require_aggregation:True, is_inverse:False, apply_threshold:False, period_in_days:30]",,,,,strot.operator360.features_hardware_v1,hardware_multiple_biodev_score_v2
doc_qc_error_score,double,Score based on the weighted average of the different fraud verdicts given by the QC over the last 30 calender days,PROD,"17/5/2026, 6:33 AM",saksham.nisg,"1/6/2026, 1:17 PM",saksham.nisg,strot.operator360.features_risk_v1,24h,2,,"[scoring_method:rank_scoring, feature_id:[doc_qc_error_doe1_incidents_v1, doc_qc_error_pop_incidents_v1], range_start:0, range_end:1, require_aggregation:True, is_inverse:False, apply_threshold:False, weights:{doc_qc_error_pop_incidents_v1:2, doc_qc_error_doe1_incidents_v1:2}, method:weighted_average]",,,,,strot.operator360.features_document_v1,doc_qc_error_score_v2
work_multiple_optname_score,double,Relative score of the operator based count of names used by operator,DEPRECATED,"15/2/2026, 8:46 AM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24h,1,,"[features_used:work_multiple_optname_instances_24h_v1, fraud_table:strot.operator360.features_work_v1, score_start:0, score_end:1.0]",,true,,,,work_multiple_optname_score_v1
doc_qc_error_doe2_incidents,double,Incidents of DOE2 errors found for the operator by QC,DEPRECATED,"12/2/2026, 12:10 PM",priyanshug.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_document_v1,24h,1,,"[table_used:strot.operator360.eid_qc_error_report_v2, period_in_days:180]",,,,,strot.operator360.eid_qc_error_report_v2,doc_qc_error_doe2_incidents_v1
auth_oddhour_txn_score,double,Score based on authentication done by the operator during odd hours thats 10 to 6,DEPRECATED,"5/4/2026, 9:22 AM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24h,1,,"[features_used:auth_oddhour_incidents_24h_v1, fraud_table:strot.operator360.features_auth_v1]",,,,,flink_stream.operator360.features_auth_v1,auth_oddhour_txn_score_v1
auth_failure_ratio_score,double,Score based on authentication failure ratio of an operator,DEPRECATED,"5/4/2026, 8:10 AM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24h,1,,"[feature_id_count:auth_txn_count_1h_v1, feature_id_failure:auth_txn_failure_count_1h_v1, fraud_table:flink_stream.operator360.features_auth_v1]",,,,,flink_stream.operator360.features_auth_v1,auth_failure_ratio_score_v1
sustxn_res_namechange_zscore,double,Relative Z-Score of the operator based on number of name change attempts,DEPRECATED,"9/3/2026, 5:39 PM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24hr,1,,"[feature_used:sustxn_res_namechange_instances_v1, fraud_table:strot.operator360.features_sustxn_24hr_v1]",,,,,,sustxn_res_namechange_zscore_24hr_v1
sustxn_res_namechange_score,double,Relative score of the operator based on number of name change attempts,DEPRECATED,"15/2/2026, 8:55 AM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24h,1,,"[features_used:sustxn_res_namechange_instances_24hr_v1, fraud_table:strot.operator360.features_sustxn_v1, score_start:0.9, score_end:1.0]",,true,,,,sustxn_res_namechange_score_v1
sustxn_res_mobilechange_score,double,Relative score of the operator based on number of mobile change attempts,DEPRECATED,"15/2/2026, 8:56 AM",saksham.nisg,"1/6/2026, 9:29 AM",saksham.nisg,strot.operator360.features_risk_v1,24h,1,,"[features_used:sustxn_res_mobilechange_instances_24h_v1, fraud_table:strot.operator360.features_sustxn_v1, score_start:0.5, score_end:1.0]",,true,,,,sustxn_res_mobilechange_score_v1
bio_mfc_iris_swap_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Swapped verdict for iris,DEPRECATED,"24/2/2026, 1:00 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:(is_right_iris_swap=true or is_left_iris_swap=true)]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_iris_swap_incidents_24h_v1
bio_packet_face_nonhuman_count_cumulative,double,Cumulative count of the Non Human verdict in Face modality by the MFC,PROD,"6/7/2026, 4:31 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,[period_in_days:1],,,,,strot.operator360.features_bio_v1,bio_packet_face_nonhuman_count_cumulative_v1
work_machine_ip_change_instances_count_daily,double,Count of different ips that a UC operator has worked on,PROD,"15/4/2026, 8:55 AM",saksham.nisg,,,strot.operator360.features_work_v1,24h,1,,[period_in_days:1],,,,,flink_stream.stream_enu.enu_uc_opt_action_v2,work_machine_ip_change_instances_count_daily_v1
auth_retry_duration_sec,double,Time between 2 retry attempts of authenication by the operator,PROD,"12/3/2026, 12:07 PM",saksham.nisg,,,flink_stream.operator360.features_auth_v1,live,1,,[],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_retry_duration_sec_live_v1
work_machine_sync_gap,double,Number of days since an operator has synced its machine given that it's latest packet(in the period of last calender 90 days) is made using ECMP,PROD,"15/4/2026, 4:45 PM",saksham.nisg,,,strot.operator360.features_work_v1,24h,1,,[period_in_days:90],,,,,"flink_stream.stream_enu.enu_operator_sync_raw, flink_stream.stream_enu.ens_packet_enriched",work_machine_sync_gap_v1
work_packet_upload_update_count_daily,double,Count of number of Update packets uploaded by the operator during the previous calender day,PROD,"15/4/2026, 4:57 PM",saksham.nisg,,,strot.operator360.features_work_v1,24h,1,,[period_in_days:1],,,,,flink_stream.stream_enu.ens_packet_enriched,work_packet_upload_update_count_daily_v1
bio_packet_slap_left_toe_print_count_daily,double,Daily count of LEFT SLAP TOE_PRINT incidents by operator in Bio packets.,PROD,"13/4/2026, 3:17 PM",sai.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'LEFT_SLAP' AND errorreasoncode = 'TOE_PRINT']",,,,,None,bio_packet_slap_left_toe_print_count_daily_v1
doc_qc_error_hpm_incidents,double,Incidents of Human Photo Missing errors found for the operator by QC,DEPRECATED,"12/2/2026, 12:10 PM",priyanshug.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_document_v1,24h,1,,"[table_used:strot.operator360.eid_qc_error_report_v2, period_in_days:180]",,,,,strot.operator360.eid_qc_error_report_v2,doc_qc_error_hpm_incidents_v1
risk_score,double,Combined score of the opeartor based on active risk features,PROD,"25/3/2026, 10:55 AM",saksham.nisg,,,strot.operator360.features_risk_v1,24h,2,,"[sustxn_outstate_pkts_score_v1:2, work_machine_change_score_v1:4, bio_mfc_fraud_score_v1:4, bio_sfc_fraud_score_v1:1, work_opt_hof_score_v1:4, work_pob_declared_score_v1:2, work_opt_machinesync_score_v1:2, hardware_machine_change_score_v1:4, sustxn_res_mobilechange_score_v1:2, sustxn_oddhour_pkts_score_v1:2, hardware_multiple_biodev_score_v1:4, sustxn_res_namechange_score_v1:2, work_multiple_optname_score_v1:4]",,,,,strot.operator360.features_risk_v1,risk_score_24h_v2
bio_packet_right_iris_fraud_count_daily_v1,double,Daily count of RIGHT IRIS fraud incidents by operator in Bio packets.,PROD,"13/4/2026, 2:54 PM",sai.nisg,"21/5/2026, 10:55 AM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:daily, filter_condition:subtype = 'RIGHT_IRIS']",,,,,None,bio_packet_right_iris_fraud_count_daily_v1
work_multiple_optname_instances,integer,The feature value depicts the count of name/names that any operator uses during the packet creation process,DEPRECATED,"13/2/2026, 4:36 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_work_v1,24h,1,,[min_pkt_date:2020-01-01],,,,,flink_stream.stream_enu.bi_enu_enrlraw_v2,work_multiple_optname_instances_24h_v1
bio_mfc_both_thumbs_swap_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Swapped verdict for both thumbs,DEPRECATED,"24/2/2026, 1:03 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.opt_features_test,24h,1,,"[period_in_days:1, filter_condition:is_both_thumbs_swap=true]",,,,,strot.operator360.bio_mfc_slap_fraud_refids,bio_mfc_both_thumbs_swap_incidents_24h_v1
bio_mfc_left_iris_mixed_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Mixed verdict for left iris,DEPRECATED,"24/2/2026, 1:00 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_left_iris_mixed=true]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_left_iris_mixed_incidents_24h_v1
bio_mfc_right_slap_swap_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Swapped verdict for right slap,DEPRECATED,"24/2/2026, 1:01 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_right_slap_swap=true]",,,,,strot.operator360.bio_mfc_slap_fraud_refids,bio_mfc_right_slap_swap_incidents_24h_v1
bio_mfc_left_slap_mixed_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Mixed verdict for left slap,DEPRECATED,"24/2/2026, 12:55 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_left_slap_mixed=true]",,,,,strot.operator360.bio_mfc_slap_fraud_refids,bio_mfc_left_slap_mixed_incidents_24h_v1
bio_mfc_right_iris_mixed_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Mixed verdict for right iris,DEPRECATED,"24/2/2026, 1:00 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_right_iris_mixed=true]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_right_iris_mixed_incidents_24h_v1
bio_mfc_fraud_toeprint_incidents,double,Count of Toe Print incidents by the opeartor in Manual Fraud Check Verdict ,DEPRECATED,"20/2/2026, 3:39 PM",saksham.nisg,"21/5/2026, 1:17 PM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,[min_pkt_date:2025-01-01],,,,,strot.operator360.bio_mfc_toe_print_refids,bio_mfc_fraud_toeprint_incidents_24h_v1
bio_sfc_fraud_incidents,double,Incidents of packets found in systematic fraud check on a daily basis,PROD,"11/2/2026, 4:32 PM",priyanshug.nisg,"22/2/2026, 8:16 AM",saksham.nisg,strot.operator360.features_bio_v1,24h,1,,[period_in_days:1],,,,,flink_stream.stream_enu.enu_sfc_raw_v1,bio_sfc_fraud_incidents_24h_v1
